date,user,location,text
2022-03-14 15:08:17,paulnords,"St Louis, MO",congratulations to team usa on winning another gold medal at this years paralympic games  beating canada 5-0. i got  
2022-03-14 15:04:03,Quicktake,,:sports_medal: “it’s a result for (the) people of ukraine. they need this victory because it’s hope.”ukraine finished 2nd in t  
2022-03-14 15:01:02,janicecamacho18,,what a game  :clapping_hands: congratulations to #teampanasonic’s @tylermcgregor08 and his team for taking the silver in para sled  
2022-03-14 14:55:30,WSPJR4,"Plano, TX",7 medals in 7 events:double_exclamation_mark: @oksanamasters has won a medal in every event she competed in at the 2022 games and is the f  
2022-03-14 14:55:23,WSPJR4,"Plano, TX",incredible  #teamtoyota's @ricosled23 and @usahockey win the gold medal in the men's sled hockey at the  
2022-03-14 14:55:09,WSPJR4,"Plano, TX",team toyota’s oksana masters becomes most decorated u.s. winter paralympian at the 2022 paralympic winter games  
2022-03-14 14:55:01,WSPJR4,"Plano, TX",team usa  team toyota’s rico roman wins third paralympic medal at paralympic winter games #winterparalympics  
2022-03-14 14:54:53,WSPJR4,"Plano, TX",team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 14:53:07,KotaCorey,"Dallas, TX",team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 14:52:59,KotaCorey,"Dallas, TX",team usa  team toyota’s rico roman wins third paralympic medal at paralympic winter games #winterparalympics  
2022-03-14 14:52:48,KotaCorey,"Dallas, TX",team toyota’s oksana masters becomes most decorated u.s. winter paralympian at the 2022 paralympic winter games  
2022-03-14 14:49:55,KFardoost,Hermosa Beach,7 medals in 7 events:double_exclamation_mark: @oksanamasters has won a medal in every event she competed in at the 2022 games and is the f  
2022-03-14 14:49:49,KFardoost,Hermosa Beach,incredible  #teamtoyota's @ricosled23 and @usahockey win the gold medal in the men's sled hockey at the  
2022-03-14 14:49:34,KFardoost,Hermosa Beach,team toyota’s oksana masters becomes most decorated u.s. winter paralympian at the 2022 paralympic winter games  
2022-03-14 14:49:26,KFardoost,Hermosa Beach,team usa  team toyota’s rico roman wins third paralympic medal at paralympic winter games #winterparalympics  
2022-03-14 14:49:13,KFardoost,Hermosa Beach,team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 14:44:22,FS_TrainingUK,Yorkshire and The Humber,outstanding work @paralympicsgb  you should all be very proud  :clapping_hands::star-struck:#winterparalympics #teamgb 
2022-03-14 14:19:29,Miyuko_junsei,New York City,#bingdwendwen and #shueyrhonrhon charmed the entire #winterolympics and #winterparalympics with :grinning_face_with_big_eyes: on their faces. 
2022-03-14 14:03:46,USOPC_AAC,,shoutout to @gabelkeith carrying the stars and stripes at closing ceremony:white_exclamation_mark::United_States::United_States::United_States: #winterparalympics #teamusa  
2022-03-14 14:01:30,globaltimesnews,"Beijing, China",the curtain dropped on the #beijing2022 #winterparalympics on sunday  but the cherished memories will stay forever.  
2022-03-14 14:00:38,mssocietyscot,Scotland,the #winterparalympics have come to an end. :snowflake:well done to all the athletes who took part. congratulations to h  
2022-03-14 13:36:59,ElissaCPA,"Denton, TX",7 medals in 7 events:double_exclamation_mark: @oksanamasters has won a medal in every event she competed in at the 2022 games and is the f  
2022-03-14 13:36:46,ElissaCPA,"Denton, TX",incredible  #teamtoyota's @ricosled23 and @usahockey win the gold medal in the men's sled hockey at the  
2022-03-14 13:30:38,NCABLEProgram,"North Carolina, USA",#ncable congratulates all of the @paralympic athletes on an exciting #winterparalympics #bejing2022  
2022-03-14 13:30:03,CisionCA,"Toronto, Canada",:sports_medal: yesterday marked the closing ceremonies of the paralympic winter games in beijing. it's been a phenomenal :keycap_10:  days  
2022-03-14 13:30:00,GBSnowsport,United Kingdom,:bouquet::1st_place_medal: banchory brothers :1st_place_medal::bouquet:neil simpson guided by brother andrew became @paralympicsgb's first ever male alpine title  
2022-03-14 13:04:03,PanasonicNA,United States,what a game  :clapping_hands: congratulations to #teampanasonic’s @tylermcgregor08 and his team for taking the silver in para sled  
2022-03-14 13:02:45,DSTalentatWork,,check out our interview with ten-time paralympic medalist @oksanamasters  who is competing this week at the winter  
2022-03-14 12:49:37,KarenNielsenTx,Dallas,incredible  #teamtoyota's @ricosled23 and @usahockey win the gold medal in the men's sled hockey at the  
2022-03-14 12:49:14,KarenNielsenTx,Dallas,7 medals in 7 events:double_exclamation_mark: @oksanamasters has won a medal in every event she competed in at the 2022 games and is the f  
2022-03-14 12:16:39,globaltimesnews,"Beijing, China","""no matter what you have suffered in your life  you should paddle your own canoe and be your better self."" chinese  "
2022-03-14 12:12:37,Parasportuk,UK,see how far you can go :star:if you've been inspired by the #winterparalympics  take @stevearnold79's advice and head  
2022-03-14 12:11:25,WillJennings96,,solo mission to #beijing2022 - firmly accomplished. :China:absolute privilege to fly the @sportsbeat flag covering the  
2022-03-14 11:59:14,SalesforceUK,"London, England",we're so proud of all @paralympicsgb athletes.the #winterparalympics truly inspired us all. can't wait to do it a  
2022-03-14 11:45:36,crownchronicles,United Kingdom,as patron of @paralympicsgb  the earl of wessex has sent a message to team gb on their ‘brilliant achievements’ at  
2022-03-14 11:42:57,BetoKavalcante,Lisboa / PT,:1st_place_medal:#winterparalympics comes to an end#ukraine is the 2nd with the most medals; #china leads with 61 podiums  and  
